,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
130,Parooldriehoek,52.35343425,4.9136182999999996,Taytu,52.35759019675256,4.913163185119629,Ethiopian Restaurant
131,Parooldriehoek,52.35343425,4.9136182999999996,Eddy Spaghetti,52.35396737630543,4.920498683101644,Italian Restaurant
132,Parooldriehoek,52.35343425,4.9136182999999996,Pestana,52.35332827733642,4.907190331425203,Hotel
133,Parooldriehoek,52.35343425,4.9136182999999996,Cinetol,52.352816731455555,4.906608016920945,Performing Arts Venue
134,Parooldriehoek,52.35343425,4.9136182999999996,Ibssa,52.35654363779611,4.909982621585617,African Restaurant
135,Parooldriehoek,52.35343425,4.9136182999999996,Saffraan,52.355258,4.907656,Middle Eastern Restaurant
136,Parooldriehoek,52.35343425,4.9136182999999996,De Verdieping,52.3539967042265,4.912324021145074,General Entertainment
137,Parooldriehoek,52.35343425,4.9136182999999996,Sinbad,52.35680247451532,4.9125346245294566,Middle Eastern Restaurant
138,Parooldriehoek,52.35343425,4.9136182999999996,Hopp,52.35017974632021,4.9180385967352205,Roof Deck
139,Parooldriehoek,52.35343425,4.9136182999999996,The Breakfast Club,52.356407473039845,4.910683727591058,Breakfast Spot
140,Parooldriehoek,52.35343425,4.9136182999999996,Ekodis Natuurmarkt,52.356532836314045,4.918607808295514,Organic Grocery
141,Parooldriehoek,52.35343425,4.9136182999999996,East57,52.35014026936412,4.918337247482988,Coffee Shop
142,Parooldriehoek,52.35343425,4.9136182999999996,Café Restaurant Hesp,52.34984570685788,4.912443765148533,Bar
143,Parooldriehoek,52.35343425,4.9136182999999996,Dragon’s Delight,52.35313403,4.90745402,Bakery
144,Parooldriehoek,52.35343425,4.9136182999999996,Cafe Kees,52.355737,4.907496,Café
145,Parooldriehoek,52.35343425,4.9136182999999996,Hicret,52.35746712588522,4.914624267445265,Bakery
146,Parooldriehoek,52.35343425,4.9136182999999996,Krugerplein,52.35395344429561,4.919992089271545,Plaza
147,Parooldriehoek,52.35343425,4.9136182999999996,Albert Heijn,52.356886,4.91314,Supermarket
148,Parooldriehoek,52.35343425,4.9136182999999996,Doka,52.3537935269494,4.912173241515969,Hotel Bar
149,Parooldriehoek,52.35343425,4.9136182999999996,Albert Heijn,52.35570282780258,4.91076391539513,Supermarket
150,Parooldriehoek,52.35343425,4.9136182999999996,Lokaal,52.35646558885667,4.910932103476783,American Restaurant
151,Parooldriehoek,52.35343425,4.9136182999999996,Steakhouse Pizzeria Oost,52.35661036255487,4.911764189974464,Pizza Place
152,Parooldriehoek,52.35343425,4.9136182999999996,Ctaste,52.35426884408159,4.906479462558539,Gastropub
153,Parooldriehoek,52.35343425,4.9136182999999996,Albert Heijn,52.354681174653486,4.9200170432495165,Supermarket
154,Parooldriehoek,52.35343425,4.9136182999999996,All World Toko,52.35695460574251,4.913570880889893,Grocery Store
155,Parooldriehoek,52.35343425,4.9136182999999996,American Fitness,52.35699829340449,4.913220834676649,Martial Arts School
156,Parooldriehoek,52.35343425,4.9136182999999996,Clos,52.35676,4.918091,Restaurant
157,Parooldriehoek,52.35343425,4.9136182999999996,Toko Willy Tjong,52.35542552523937,4.919874646025606,Food Truck
158,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,4850,52.35782396898085,4.91368528611317,Wine Bar
159,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Badhuistheater,52.359410521322005,4.912654723966935,Theater
160,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Restaurant Oost,52.359247308175604,4.914358435980844,Italian Restaurant
161,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Marits Eetkamer,52.35941451484625,4.913751354553065,Vegetarian / Vegan Restaurant
162,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Hartog's Volkoren Bakkerij,52.35680817072555,4.910944117135955,Bakery
163,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Bagels & Beans,52.35744633011663,4.910152169072699,Bagel Shop
164,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Bar Bukowski,52.358087906192175,4.917527001366769,Bar
165,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Taytu,52.35759019675256,4.913163185119629,Ethiopian Restaurant
166,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Café Fest,52.35955821191229,4.909901264594804,Café
167,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Henry's Bar,52.35807706790395,4.917551086635176,Cocktail Bar
168,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Het IJsboefje,52.357424272805424,4.917977337896108,Ice Cream Shop
169,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Mangiassai,52.35730594550904,4.909443922353648,Italian Restaurant
170,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Loetje Oost,52.35715675681808,4.90808401799727,Steakhouse
171,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Speeltuin Oosterpark,52.36027211753702,4.9169358021052485,Playground
172,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Kriterion,52.36255547748539,4.910841953190408,Indie Movie Theater
173,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Coffee Bru,52.35714454707232,4.917984511142178,Coffee Shop
174,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,The Bab,52.358087,4.913207,Korean Restaurant
175,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Hyatt Regency Fitness Center and Spa,52.36171,4.911621,Gym / Fitness Center
176,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Eriks Delicatessen,52.35711397618982,4.918017384058948,Deli / Bodega
177,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Bakhuys,52.36105422036529,4.907108251136343,Bakery
178,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Generator Amsterdam,52.3608023032566,4.918966453023424,Hostel
179,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Stek,52.35623873584955,4.911457300186157,Breakfast Spot
180,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Beter & Leuk,52.356167,4.9099565,Café
181,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Hyatt Regency Amsterdam,52.361835817644184,4.911776730454791,Hotel
182,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,CoffeeCompany,52.35816096888346,4.909906282733635,Coffee Shop
183,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Mama Makan,52.3619344933804,4.9118015465915805,Indonesian Restaurant
184,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,De Ruyschkamer,52.35704593762679,4.9092047780429615,Coffee Shop
185,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Café Maxwell,52.35698446206224,4.9184124970626835,Pub
186,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Poollokaal De gracht,52.362643917291614,4.909829868051059,Pool Hall
187,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,The Student Hotel Amsterdam City,52.354653850765786,4.91320342946571,Hotel
188,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Hotel Arena,52.36144256722608,4.916439161244679,Hotel
189,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,India Roti Room,52.356111266732135,4.909876703208382,Indian Restaurant
190,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Mama Dough,52.357068896436346,4.918279484011874,Italian Restaurant
191,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,De Ysbreeker,52.35747402372425,4.906681701164431,Restaurant
192,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,C Amsterdam,52.35462341689701,4.912568968739495,Modern European Restaurant
193,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Rotisserie East,52.35711609116988,4.918216756218269,Burger Joint
194,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,CREA Café,52.36342522902672,4.913119736583699,Bar
195,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Thaicoon,52.35717898056759,4.918036011396017,Asian Restaurant
196,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Ibssa,52.35654363779611,4.909982621585617,African Restaurant
197,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Mitra Amsterdam,52.357401993366,4.917949597364753,Liquor Store
198,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,citizenM Amstel Amsterdam,52.3606566311151,4.90638792514801,Hotel
199,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,CREA Theater,52.36348356670803,4.9129496976559475,Theater
200,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Ekodis Natuurmarkt,52.356532836314045,4.918607808295514,Organic Grocery
201,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Amstelhaven,52.359398154780116,4.9060019411444555,Lounge
202,Oosterparkbuurt Noordwest,52.359078100000005,4.91288805,Sea Shepherd Netherlands & Global HQ,52.35505705083512,4.911854566046607,Office
203,Oosterpark,52.36088625,4.920192,Oosterpark,52.36019143788499,4.920544624328613,Park
204,Oosterpark,52.36088625,4.920192,Generator Amsterdam,52.3608023032566,4.918966453023424,Hostel
205,Oosterpark,52.36088625,4.920192,Koninklijk Instituut voor de Tropen,52.36275331916555,4.92059272816436,Monument / Landmark
206,Oosterpark,52.36088625,4.920192,Speeltuin Oosterpark,52.36027211753702,4.9169358021052485,Playground
207,Oosterpark,52.36088625,4.920192,De Biertuin,52.362240632359246,4.92408864548921,Beer Garden
208,Oosterpark,52.36088625,4.920192,Roopram Roti,52.36205212067869,4.924597021080056,Caribbean Restaurant
209,Oosterpark,52.36088625,4.920192,Bar Bukowski,52.358087906192175,4.917527001366769,Bar
210,Oosterpark,52.36088625,4.920192,Stooker Roasting Co.,52.35888671875,4.923469066619873,Coffee Shop
211,Oosterpark,52.36088625,4.920192,Tropenmuseum,52.36270108938899,4.922481330510623,Museum
212,Oosterpark,52.36088625,4.920192,Cafe Kuijper,52.3598752249956,4.925489524664014,Bar
213,Oosterpark,52.36088625,4.920192,Henry's Bar,52.35807706790395,4.917551086635176,Cocktail Bar
214,Oosterpark,52.36088625,4.920192,Hotel Arena,52.36144256722608,4.916439161244679,Hotel
215,Oosterpark,52.36088625,4.920192,Het IJsboefje,52.357424272805424,4.917977337896108,Ice Cream Shop
216,Oosterpark,52.36088625,4.920192,Louie Louie,52.36306485317546,4.923643009833615,Café
217,Oosterpark,52.36088625,4.920192,Tapperij De Eeuwige Jeugd,52.36143401703757,4.924762934438149,Beer Bar
218,Oosterpark,52.36088625,4.920192,Warung Srarang Makmur,52.3601362176373,4.925879941644571,Indonesian Restaurant
219,Oosterpark,52.36088625,4.920192,Nefis Houtoven,52.36241229997561,4.9261739071640775,Turkish Restaurant
220,Oosterpark,52.36088625,4.920192,KNUS,52.36038707964888,4.925126491987584,Café
221,Oosterpark,52.36088625,4.920192,Coffee Bru,52.35714454707232,4.917984511142178,Coffee Shop
222,Oosterpark,52.36088625,4.920192,Equal Hot Yoga,52.35890876987863,4.925752848574075,Spiritual Center
223,Oosterpark,52.36088625,4.920192,Hampshire Hotel - The Manor Amsterdam,52.359230719791896,4.926070419407511,Hotel
224,Oosterpark,52.36088625,4.920192,Eriks Delicatessen,52.35711397618982,4.918017384058948,Deli / Bodega
225,Oosterpark,52.36088625,4.920192,Café Maxwell,52.35698446206224,4.9184124970626835,Pub
226,Oosterpark,52.36088625,4.920192,Blue Birds Studio,52.365056007389555,4.922511209125748,Yoga Studio
227,Oosterpark,52.36088625,4.920192,Pata Negra 2,52.36057257346992,4.925145460558188,Tapas Restaurant
228,Oosterpark,52.36088625,4.920192,All the Luck in the World | Oost,52.359331654706054,4.925663928991463,Gift Shop
229,Oosterpark,52.36088625,4.920192,Restaurant Oost,52.359247308175604,4.914358435980844,Italian Restaurant
230,Oosterpark,52.36088625,4.920192,Mama Dough,52.357068896436346,4.918279484011874,Italian Restaurant
231,Oosterpark,52.36088625,4.920192,Marits Eetkamer,52.35941451484625,4.913751354553065,Vegetarian / Vegan Restaurant
232,Oosterpark,52.36088625,4.920192,Artis Aquarium,52.36466610272552,4.9178746120258205,Aquarium
233,Oosterpark,52.36088625,4.920192,Vlinderpaviljoen,52.36523003589967,4.920426039132497,Zoo Exhibit
234,Oosterpark,52.36088625,4.920192,Rotisserie East,52.35711609116988,4.918216756218269,Burger Joint
235,Oosterpark,52.36088625,4.920192,Zeeleeuwen,52.36520649344573,4.920034756287146,Zoo Exhibit
